time_x,current_performance,target_performance,cpu_node_percentage,net_node_percentage,io_node_percentage
2489,640000.000000,650000.000000,0.065000,0.029483,0.127077
2494,650000.000000,650000.000000,0.065000,0.029483,0.127077
2499,650000.000000,650000.000000,0.065000,0.029483,0.127077
2504,720000.000000,650000.000000,0.065000,0.029483,0.127077
2508,680000.000000,650000.000000,0.065000,0.029483,0.127077
2514,630000.000000,650000.000000,0.065000,0.029483,0.127077
2518,690000.000000,650000.000000,0.065000,0.029483,0.127077
2523,710000.000000,650000.000000,0.065000,0.029483,0.127077
2528,710000.000000,650000.000000,0.065000,0.029483,0.127077
2533,700000.000000,650000.000000,0.065000,0.029483,0.127077
2538,700000.000000,650000.000000,0.065000,0.029483,0.127077
2542,700000.000000,650000.000000,0.065000,0.029483,0.127077
2547,700000.000000,650000.000000,0.065000,0.029483,0.127077
2552,700000.000000,650000.000000,0.065000,0.029483,0.127077
2557,700000.000000,650000.000000,0.065000,0.029483,0.127077
2561,700000.000000,650000.000000,0.065000,0.029483,0.127077
2566,700000.000000,650000.000000,0.065000,0.029483,0.127077
2571,700000.000000,650000.000000,0.065000,0.029483,0.127077
2576,700000.000000,650000.000000,0.065000,0.029483,0.127077
2581,700000.000000,650000.000000,0.065000,0.029483,0.127077
2585,700000.000000,650000.000000,0.065000,0.029483,0.127077
2591,700000.000000,650000.000000,0.065000,0.029483,0.127077
2595,700000.000000,650000.000000,0.065000,0.029483,0.127077
2600,700000.000000,650000.000000,0.065000,0.029483,0.127077
2605,700000.000000,650000.000000,0.065000,0.029483,0.127077
2610,700000.000000,650000.000000,0.065000,0.029483,0.127077
2615,700000.000000,650000.000000,0.065000,0.029483,0.127077
2619,700000.000000,650000.000000,0.065000,0.029483,0.127077
2624,700000.000000,650000.000000,0.065000,0.029483,0.127077
2629,700000.000000,650000.000000,0.065000,0.029483,0.127077
2634,700000.000000,650000.000000,0.065000,0.029483,0.127077
2638,700000.000000,650000.000000,0.065000,0.029483,0.127077
2643,700000.000000,650000.000000,0.065000,0.029483,0.127077
2648,700000.000000,650000.000000,0.065000,0.029483,0.127077
2653,700000.000000,650000.000000,0.065000,0.029483,0.127077
2658,700000.000000,650000.000000,0.065000,0.029483,0.127077
2662,700000.000000,650000.000000,0.065000,0.029483,0.127077
2668,700000.000000,650000.000000,0.065000,0.029483,0.127077
2672,700000.000000,650000.000000,0.065000,0.029483,0.127077
2677,700000.000000,650000.000000,0.065000,0.029483,0.127077
2682,700000.000000,650000.000000,0.065000,0.029483,0.127077
2687,700000.000000,650000.000000,0.065000,0.029483,0.127077
2692,700000.000000,650000.000000,0.065000,0.029483,0.127077
2696,700000.000000,650000.000000,0.065000,0.029483,0.127077
2701,700000.000000,650000.000000,0.065000,0.029483,0.127077
2706,700000.000000,650000.000000,0.065000,0.029483,0.127077
2711,700000.000000,650000.000000,0.065000,0.029483,0.127077
2715,700000.000000,650000.000000,0.065000,0.029483,0.127077
2720,700000.000000,650000.000000,0.065000,0.029483,0.127077
2725,700000.000000,650000.000000,0.065000,0.029483,0.127077
2730,700000.000000,650000.000000,0.065000,0.029483,0.127077
2735,700000.000000,650000.000000,0.065000,0.029483,0.127077
2739,700000.000000,650000.000000,0.065000,0.029483,0.127077
2745,700000.000000,650000.000000,0.065000,0.029483,0.127077
2749,700000.000000,650000.000000,0.065000,0.029483,0.127077
2754,700000.000000,650000.000000,0.065000,0.029483,0.127077
2759,700000.000000,650000.000000,0.065000,0.029483,0.127077
2764,700000.000000,650000.000000,0.065000,0.029483,0.127077
2769,700000.000000,650000.000000,0.065000,0.029483,0.127077
2773,700000.000000,650000.000000,0.065000,0.029483,0.127077
2778,700000.000000,650000.000000,0.065000,0.029483,0.127077
2783,700000.000000,650000.000000,0.065000,0.029483,0.127077
2788,700000.000000,650000.000000,0.065000,0.029483,0.127077
2792,700000.000000,650000.000000,0.065000,0.029483,0.127077
2797,700000.000000,650000.000000,0.065000,0.029483,0.127077
2802,700000.000000,650000.000000,0.065000,0.029483,0.127077
2807,700000.000000,650000.000000,0.065000,0.029483,0.127077
2812,700000.000000,650000.000000,0.065000,0.029483,0.127077
2816,700000.000000,650000.000000,0.065000,0.029483,0.127077
2822,700000.000000,650000.000000,0.065000,0.029483,0.127077
2826,700000.000000,650000.000000,0.065000,0.029483,0.127077
2831,700000.000000,650000.000000,0.065000,0.029483,0.127077
2836,700000.000000,650000.000000,0.065000,0.029483,0.127077
2841,700000.000000,650000.000000,0.065000,0.029483,0.127077
2846,700000.000000,650000.000000,0.065000,0.029483,0.127077
2850,700000.000000,650000.000000,0.065000,0.029483,0.127077
2855,700000.000000,650000.000000,0.065000,0.029483,0.127077
2860,700000.000000,650000.000000,0.065000,0.029483,0.127077
2865,700000.000000,650000.000000,0.065000,0.029483,0.127077
2869,700000.000000,650000.000000,0.065000,0.029483,0.127077
2873,700000.000000,650000.000000,0.065000,0.029483,0.127077
2878,700000.000000,650000.000000,0.065000,0.029483,0.127077
2883,700000.000000,650000.000000,0.065000,0.029483,0.127077
2888,700000.000000,650000.000000,0.065000,0.029483,0.127077
2892,700000.000000,650000.000000,0.065000,0.029483,0.127077
2897,700000.000000,650000.000000,0.065000,0.029483,0.127077
2902,700000.000000,650000.000000,0.065000,0.029483,0.127077
2907,700000.000000,650000.000000,0.065000,0.029483,0.127077
2912,700000.000000,650000.000000,0.065000,0.029483,0.127077
2917,700000.000000,650000.000000,0.065000,0.029483,0.127077
2922,700000.000000,650000.000000,0.065000,0.029483,0.127077
2926,700000.000000,650000.000000,0.065000,0.029483,0.127077
2931,700000.000000,650000.000000,0.065000,0.029483,0.127077
2936,700000.000000,650000.000000,0.065000,0.029483,0.127077
2940,700000.000000,650000.000000,0.065000,0.029483,0.127077
2945,700000.000000,650000.000000,0.065000,0.029483,0.127077
2950,700000.000000,650000.000000,0.065000,0.029483,0.127077
2955,700000.000000,650000.000000,0.065000,0.029483,0.127077
2960,700000.000000,650000.000000,0.065000,0.029483,0.127077
2965,700000.000000,650000.000000,0.065000,0.029483,0.127077
2969,700000.000000,650000.000000,0.065000,0.029483,0.127077
2974,700000.000000,650000.000000,0.065000,0.029483,0.127077
2979,700000.000000,650000.000000,0.065000,0.029483,0.127077
2984,700000.000000,650000.000000,0.065000,0.029483,0.127077
2989,700000.000000,650000.000000,0.065000,0.029483,0.127077
2994,700000.000000,650000.000000,0.065000,0.029483,0.127077
2999,700000.000000,650000.000000,0.065000,0.029483,0.127077
3003,700000.000000,650000.000000,0.065000,0.029483,0.127077
3008,700000.000000,650000.000000,0.065000,0.029483,0.127077
3013,700000.000000,650000.000000,0.065000,0.029483,0.127077
3017,700000.000000,650000.000000,0.065000,0.029483,0.127077
3022,700000.000000,650000.000000,0.065000,0.029483,0.127077
3027,700000.000000,650000.000000,0.065000,0.029483,0.127077
3032,700000.000000,650000.000000,0.065000,0.029483,0.127077
3037,700000.000000,650000.000000,0.065000,0.029483,0.127077
3042,700000.000000,650000.000000,0.065000,0.029483,0.127077
3046,700000.000000,650000.000000,0.065000,0.029483,0.127077
3052,700000.000000,650000.000000,0.065000,0.029483,0.127077
3057,700000.000000,650000.000000,0.065000,0.029483,0.127077
3061,700000.000000,650000.000000,0.065000,0.029483,0.127077
3065,700000.000000,650000.000000,0.065000,0.029483,0.127077
3070,700000.000000,650000.000000,0.065000,0.029483,0.127077
3076,700000.000000,650000.000000,0.065000,0.029483,0.127077
3080,700000.000000,650000.000000,0.065000,0.029483,0.127077
3085,700000.000000,650000.000000,0.065000,0.029483,0.127077
3090,700000.000000,650000.000000,0.065000,0.029483,0.127077
3094,700000.000000,650000.000000,0.065000,0.029483,0.127077
3098,700000.000000,650000.000000,0.065000,0.029483,0.127077
3103,700000.000000,650000.000000,0.065000,0.029483,0.127077
3107,700000.000000,650000.000000,0.065000,0.029483,0.127077
3112,700000.000000,650000.000000,0.065000,0.029483,0.127077
3116,700000.000000,650000.000000,0.065000,0.029483,0.127077
3121,700000.000000,650000.000000,0.065000,0.029483,0.127077
3126,700000.000000,650000.000000,0.065000,0.029483,0.127077
3131,700000.000000,650000.000000,0.065000,0.029483,0.127077
3135,700000.000000,650000.000000,0.065000,0.029483,0.127077
3139,700000.000000,650000.000000,0.065000,0.029483,0.127077
3144,700000.000000,650000.000000,0.065000,0.029483,0.127077
3149,700000.000000,650000.000000,0.065000,0.029483,0.127077
3154,700000.000000,650000.000000,0.065000,0.029483,0.127077
3158,700000.000000,650000.000000,0.065000,0.029483,0.127077
3163,700000.000000,650000.000000,0.065000,0.029483,0.127077
3168,700000.000000,650000.000000,0.065000,0.029483,0.127077
3173,700000.000000,650000.000000,0.065000,0.029483,0.127077
3178,700000.000000,650000.000000,0.065000,0.029483,0.127077
3183,700000.000000,650000.000000,0.065000,0.029483,0.127077
3188,700000.000000,650000.000000,0.065000,0.029483,0.127077
3192,700000.000000,650000.000000,0.065000,0.029483,0.127077
3197,700000.000000,650000.000000,0.065000,0.029483,0.127077
3202,700000.000000,650000.000000,0.065000,0.029483,0.127077
